ip,pass,fail,disconnected_time
203.0.113.43,0,2,184529
10.255.255.13,0,3,397257
10.255.255.45,0,7,1753906
192.168.1.1,0,2,148453
203.0.113.15,0,2,136415
8.8.4.4,2,0,0
203.0.113.22,0,2,148444
10.255.255.43,0,2,148443
10.255.255.17,0,2,192487
10.255.255.34,0,2,212619
10.255.255.10,0,2,192624
10.255.255.14,0,6,1497012
127.0.0.1,2,0,0
10.255.255.15,0,2,200647
10.255.255.24,0,3,385242
10.255.255.20,0,2,168504
203.0.113.26,0,2,164496
10.255.255.26,0,2,208759
203.0.113.45,0,2,144438
10.255.255.9,0,2,152456
203.0.113.20,1,5,569859
203.0.113.4,0,6,1324582
10.255.255.6,0,3,389257
203.0.113.14,0,2,184462
10.255.255.18,0,2,156464
10.255.255.28,0,2,204655
10.255.255.35,1,1,0
10.255.255.4,0,2,156466
203.0.113.2,0,2,172508
203.0.113.40,0,2,136337
10.255.255.25,0,3,409277
4.2.2.2,2,0,0
8.8.8.8,2,0,0
10.255.255.1,0,2,132415
203.0.113.38,0,2,140424
10.255.255.31,0,3,425402
203.0.113.8,0,2,188542
203.0.113.37,0,3,361186
9.9.9.9,2,0,0
203.0.113.23,0,6,1469151
192.168.0.1,0,3,409277
203.0.113.10,0,2,156460
10.255.255.29,0,2,148440
203.0.113.19,0,2,180525
10.255.255.37,0,2,176519
10.255.255.41,0,3,417371
10.255.255.3,0,2,192621
10.255.255.8,0,3,381226
203.0.113.25,0,2,160487
203.0.113.1,0,3,417371
10.255.255.39,0,7,1986566
203.0.113.21,0,7,2066762
203.0.113.12,2,0,0
203.0.113.7,0,2,172450
